categoria,descripcion,imagen,marca,nombre,precio,sub_categoria,tipo_producto,url
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212730347/2018212730347_2.jpg,SAMSUNG,SAMSUNG BARRA DE SONIDO HW-NW700PE 250W,"S/ 1,999",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977541/2065172977541_2.jpg,,PIONEER BOCINA PARA AUTO TS-S250 - NEGRO,S/ 149,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img923/5092/HNUBtL.jpg,FIDDLER,FIDDLER HEADPHONE CON MICRÓFONO 1.8MT - ROJO,S/ 34.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_2/2018214463717/2018214463717_2.jpg,SAMSUNG,"SAMSUNG SMART TV UHD 49"" CURVO 49NU7300","S/ 2,399",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212725770/2018212725770_2.jpg,SAMSUNG,"SAMSUNG SMART TV UHD 50"" UN50NU7100GXPE","S/ 2,199",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=3
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2018192812996/2018192812996_2.jpg,AOC,"AOC TV UHD 55"" LE55U7970","S/ 2,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu&page=2
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211649732/2018211649732_2.jpg,LG,LG BARRA DE SONIDO SK5 360W,S/ 749,tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018209199171/2018209199171_2.jpg,LG,LG BARRA DE SONIDO SK5R 480W,"S/ 2,299",tv-video,audio-para-tv,https://simple.ripley.com.pe/tv-y-video/audio-para-tv/ver-todo-audio-para-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_2/2018178542794/2018178542794_2.jpg,,PROLINK RACK PARA TV FIJO HWM070KC + CABLE HDMI,S/ 39.90,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_3/2065183249736/2065183249736_2.jpg,MACROTEL,MACROTEL 4 PILAS HÍBRIDAS PRECARGADAS AAA,S/ 24.90,tv-video,video-y-accesorios,https://simple.ripley.com.pe/tv-y-video/video-y-accesorios/ver-todo-video-y-accesorios?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211649725/2018211649725_2.jpg,LG,LG MINICOMPONENTE OK99 1800W,"S/ 1,799",tv-video,equipo-de-sonido,https://simple.ripley.com.pe/tv-y-video/equipo-de-sonido/ver-todo-equipo-de-sonido?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2065172977350/2065172977350_2.jpg,,PIONEER AUTO RADIO DVH-785AV - NEGRO,S/ 699,tv-video,car-audio,https://simple.ripley.com.pe/tv-y-video/car-audio/ver-todo-car-audio?source=menu
tecnologia,,https://imageshack.com/a/img924/8714/rb4jej.jpg,SAKAR,SAKAR MINION DJ HEADPHONE-3 MINION,S/ 34.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
tecnologia,,https://imageshack.com/a/img921/6044/oK8MbS.jpg,FIDDLER,FIDDLER AUDÍFONO DEPORTIVO CON MICRÓFONO - NEGRO,S/ 22.90,tv-video,audio-portatil,https://simple.ripley.com.pe/tv-y-video/audio-portatil/ver-todo-audio-portatil?source=menu
